ID,ESTACION,MUNICIPIO,MES,PRECIPITACION,MES_NUM
30193,JOSE CARDEL,LA ANTIGUA,ENE,12.3,1
30193,JOSE CARDEL,LA ANTIGUA,FEB,8.0,2
30193,JOSE CARDEL,LA ANTIGUA,MAR,12.7,3
30193,JOSE CARDEL,LA ANTIGUA,ABR,18.2,4
30193,JOSE CARDEL,LA ANTIGUA,MAY,53.8,5
30193,JOSE CARDEL,LA ANTIGUA,JUN,208.8,6
30193,JOSE CARDEL,LA ANTIGUA,JUL,299.4,7
30193,JOSE CARDEL,LA ANTIGUA,AGO,227.8,8
30193,JOSE CARDEL,LA ANTIGUA,SEP,206.4,9
30193,JOSE CARDEL,LA ANTIGUA,OCT,84.6,10
30193,JOSE CARDEL,LA ANTIGUA,NOV,31.5,11
30193,JOSE CARDEL,LA ANTIGUA,DIC,15.0,12
30166,TAMOS ,PANUCO,ENE,34.4,1
30166,TAMOS ,PANUCO,FEB,21.9,2
30166,TAMOS ,PANUCO,MAR,15.5,3
30166,TAMOS ,PANUCO,ABR,16.9,4
30166,TAMOS ,PANUCO,MAY,44.5,5
30166,TAMOS ,PANUCO,JUN,136.8,6
30166,TAMOS ,PANUCO,JUL,141.8,7
30166,TAMOS ,PANUCO,AGO,153.4,8
30166,TAMOS ,PANUCO,SEP,201.8,9
30166,TAMOS ,PANUCO,OCT,114.8,10
30166,TAMOS ,PANUCO,NOV,44.6,11
30166,TAMOS ,PANUCO,DIC,33.5,12
30077,JALTIPAN DE MORELOS,JALTIPAN,ENE,62.0,1
30077,JALTIPAN DE MORELOS,JALTIPAN,FEB,30.7,2
30077,JALTIPAN DE MORELOS,JALTIPAN,MAR,20.9,3
30077,JALTIPAN DE MORELOS,JALTIPAN,ABR,18.7,4
30077,JALTIPAN DE MORELOS,JALTIPAN,MAY,71.5,5
30077,JALTIPAN DE MORELOS,JALTIPAN,JUN,240.4,6
30077,JALTIPAN DE MORELOS,JALTIPAN,JUL,284.6,7
30077,JALTIPAN DE MORELOS,JALTIPAN,AGO,341.8,8
30077,JALTIPAN DE MORELOS,JALTIPAN,SEP,351.0,9
30077,JALTIPAN DE MORELOS,JALTIPAN,OCT,240.9,10
30077,JALTIPAN DE MORELOS,JALTIPAN,NOV,156.3,11
30077,JALTIPAN DE MORELOS,JALTIPAN,DIC,100.9,12
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,ENE,56.6,1
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,FEB,35.3,2
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,MAR,32.0,3
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,ABR,35.9,4
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,MAY,104.1,5
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,JUN,305.3,6
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,JUL,468.6,7
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,AGO,435.1,8
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,SEP,322.5,9
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,OCT,191.5,10
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,NOV,87.7,11
30081,LA FLORENCIA,SAN JUAN EVANGELISTA,DIC,82.1,12
30054,EL RAUDAL,NAUTLA,ENE,76.5,1
30054,EL RAUDAL,NAUTLA,FEB,72.5,2
30054,EL RAUDAL,NAUTLA,MAR,59.5,3
30054,EL RAUDAL,NAUTLA,ABR,92.4,4
30054,EL RAUDAL,NAUTLA,MAY,76.0,5
30054,EL RAUDAL,NAUTLA,JUN,129.3,6
30054,EL RAUDAL,NAUTLA,JUL,163.3,7
30054,EL RAUDAL,NAUTLA,AGO,190.2,8
30054,EL RAUDAL,NAUTLA,SEP,336.4,9
30054,EL RAUDAL,NAUTLA,OCT,231.0,10
30054,EL RAUDAL,NAUTLA,NOV,147.2,11
30054,EL RAUDAL,NAUTLA,DIC,100.9,12
30093,LOMA FINA,PASO DE OVEJAS,ENE,12.6,1
30093,LOMA FINA,PASO DE OVEJAS,FEB,8.6,2
30093,LOMA FINA,PASO DE OVEJAS,MAR,12.5,3
30093,LOMA FINA,PASO DE OVEJAS,ABR,13.3,4
30093,LOMA FINA,PASO DE OVEJAS,MAY,35.1,5
30093,LOMA FINA,PASO DE OVEJAS,JUN,190.4,6
30093,LOMA FINA,PASO DE OVEJAS,JUL,263.2,7
30093,LOMA FINA,PASO DE OVEJAS,AGO,204.2,8
30093,LOMA FINA,PASO DE OVEJAS,SEP,178.9,9
30093,LOMA FINA,PASO DE OVEJAS,OCT,69.8,10
30093,LOMA FINA,PASO DE OVEJAS,NOV,28.4,11
30093,LOMA FINA,PASO DE OVEJAS,DIC,14.4,12
30266,EL DIAMANTE ,ACTOPAN,ENE,14.0,1
30266,EL DIAMANTE ,ACTOPAN,FEB,8.5,2
30266,EL DIAMANTE ,ACTOPAN,MAR,12.0,3
30266,EL DIAMANTE ,ACTOPAN,ABR,14.4,4
30266,EL DIAMANTE ,ACTOPAN,MAY,34.6,5
30266,EL DIAMANTE ,ACTOPAN,JUN,150.2,6
30266,EL DIAMANTE ,ACTOPAN,JUL,221.7,7
30266,EL DIAMANTE ,ACTOPAN,AGO,173.6,8
30266,EL DIAMANTE ,ACTOPAN,SEP,163.6,9
30266,EL DIAMANTE ,ACTOPAN,OCT,66.9,10
30266,EL DIAMANTE ,ACTOPAN,NOV,26.5,11
30266,EL DIAMANTE ,ACTOPAN,DIC,12.2,12
30013,AZUETA ,JOSE AZUETA,ENE,37.4,1
30013,AZUETA ,JOSE AZUETA,FEB,33.4,2
30013,AZUETA ,JOSE AZUETA,MAR,17.4,3
30013,AZUETA ,JOSE AZUETA,ABR,33.0,4
30013,AZUETA ,JOSE AZUETA,MAY,80.6,5
30013,AZUETA ,JOSE AZUETA,JUN,262.3,6
30013,AZUETA ,JOSE AZUETA,JUL,292.0,7
30013,AZUETA ,JOSE AZUETA,AGO,297.5,8
30013,AZUETA ,JOSE AZUETA,SEP,278.6,9
30013,AZUETA ,JOSE AZUETA,OCT,177.8,10
30013,AZUETA ,JOSE AZUETA,NOV,88.4,11
30013,AZUETA ,JOSE AZUETA,DIC,46.6,12
30327,TIERRA MORADA ,LAS CHOAPAS,ENE,132.5,1
30327,TIERRA MORADA ,LAS CHOAPAS,FEB,100.1,2
30327,TIERRA MORADA ,LAS CHOAPAS,MAR,45.4,3
30327,TIERRA MORADA ,LAS CHOAPAS,ABR,42.6,4
30327,TIERRA MORADA ,LAS CHOAPAS,MAY,124.3,5
30327,TIERRA MORADA ,LAS CHOAPAS,JUN,298.9,6
30327,TIERRA MORADA ,LAS CHOAPAS,JUL,289.8,7
30327,TIERRA MORADA ,LAS CHOAPAS,AGO,361.8,8
30327,TIERRA MORADA ,LAS CHOAPAS,SEP,457.6,9
30327,TIERRA MORADA ,LAS CHOAPAS,OCT,332.6,10
30327,TIERRA MORADA ,LAS CHOAPAS,NOV,257.9,11
30327,TIERRA MORADA ,LAS CHOAPAS,DIC,184.4,12
30071,IXCATEPEC,IXCATEPEC,ENE,51.9,1
30071,IXCATEPEC,IXCATEPEC,FEB,46.8,2
30071,IXCATEPEC,IXCATEPEC,MAR,34.6,3
30071,IXCATEPEC,IXCATEPEC,ABR,62.6,4
30071,IXCATEPEC,IXCATEPEC,MAY,74.6,5
30071,IXCATEPEC,IXCATEPEC,JUN,197.6,6
30071,IXCATEPEC,IXCATEPEC,JUL,195.2,7
30071,IXCATEPEC,IXCATEPEC,AGO,203.0,8
30071,IXCATEPEC,IXCATEPEC,SEP,295.1,9
30071,IXCATEPEC,IXCATEPEC,OCT,144.8,10
30071,IXCATEPEC,IXCATEPEC,NOV,85.7,11
30071,IXCATEPEC,IXCATEPEC,DIC,54.8,12
30337,LIBERTAD,MISANTLA,ENE,92.4,1
30337,LIBERTAD,MISANTLA,FEB,77.5,2
30337,LIBERTAD,MISANTLA,MAR,69.8,3
30337,LIBERTAD,MISANTLA,ABR,90.9,4
30337,LIBERTAD,MISANTLA,MAY,93.5,5
30337,LIBERTAD,MISANTLA,JUN,113.9,6
30337,LIBERTAD,MISANTLA,JUL,138.5,7
30337,LIBERTAD,MISANTLA,AGO,131.1,8
30337,LIBERTAD,MISANTLA,SEP,290.4,9
30337,LIBERTAD,MISANTLA,OCT,259.2,10
30337,LIBERTAD,MISANTLA,NOV,163.3,11
30337,LIBERTAD,MISANTLA,DIC,131.0,12
30056,EL TEJAR,MEDELLIN DE BRAVO,ENE,23.1,1
30056,EL TEJAR,MEDELLIN DE BRAVO,FEB,15.5,2
30056,EL TEJAR,MEDELLIN DE BRAVO,MAR,10.9,3
30056,EL TEJAR,MEDELLIN DE BRAVO,ABR,22.8,4
30056,EL TEJAR,MEDELLIN DE BRAVO,MAY,64.2,5
30056,EL TEJAR,MEDELLIN DE BRAVO,JUN,255.9,6
30056,EL TEJAR,MEDELLIN DE BRAVO,JUL,386.7,7
30056,EL TEJAR,MEDELLIN DE BRAVO,AGO,366.3,8
30056,EL TEJAR,MEDELLIN DE BRAVO,SEP,322.9,9
30056,EL TEJAR,MEDELLIN DE BRAVO,OCT,165.8,10
30056,EL TEJAR,MEDELLIN DE BRAVO,NOV,55.0,11
30056,EL TEJAR,MEDELLIN DE BRAVO,DIC,30.2,12
30175,TEMBLADERAS ,XICO,ENE,43.2,1
30175,TEMBLADERAS ,XICO,FEB,39.5,2
30175,TEMBLADERAS ,XICO,MAR,33.2,3
30175,TEMBLADERAS ,XICO,ABR,50.6,4
30175,TEMBLADERAS ,XICO,MAY,83.1,5
30175,TEMBLADERAS ,XICO,JUN,269.6,6
30175,TEMBLADERAS ,XICO,JUL,360.8,7
30175,TEMBLADERAS ,XICO,AGO,306.4,8
30175,TEMBLADERAS ,XICO,SEP,278.7,9
30175,TEMBLADERAS ,XICO,OCT,141.8,10
30175,TEMBLADERAS ,XICO,NOV,58.0,11
30175,TEMBLADERAS ,XICO,DIC,39.0,12
30456,LA CANGREJERA,COATZACOALCOS,ENE,183.2,1
30456,LA CANGREJERA,COATZACOALCOS,FEB,96.6,2
30456,LA CANGREJERA,COATZACOALCOS,MAR,68.5,3
30456,LA CANGREJERA,COATZACOALCOS,ABR,39.9,4
30456,LA CANGREJERA,COATZACOALCOS,MAY,119.4,5
30456,LA CANGREJERA,COATZACOALCOS,JUN,187.1,6
30456,LA CANGREJERA,COATZACOALCOS,JUL,189.9,7
30456,LA CANGREJERA,COATZACOALCOS,AGO,235.4,8
30456,LA CANGREJERA,COATZACOALCOS,SEP,498.9,9
30456,LA CANGREJERA,COATZACOALCOS,OCT,633.8,10
30456,LA CANGREJERA,COATZACOALCOS,NOV,427.4,11
30456,LA CANGREJERA,COATZACOALCOS,DIC,230.0,12
