Fecha,Precip,Evap,Tmax,Tmin,ID_Estacion,Municipio,MES_NUM
2011-01-01,0.0,1.85,24,16,30357,TAMIAHUA,1
2011-01-02,0.0,3.7,23,15,30357,TAMIAHUA,1
2011-01-03,0.0,0.7,22,16,30357,TAMIAHUA,1
2011-01-04,0.01,1.6,25,18,30357,TAMIAHUA,1
2011-01-05,0.0,2.13,28,17,30357,TAMIAHUA,1
2011-01-06,0.0,2.6,27,18,30357,TAMIAHUA,1
2011-01-07,0.01,2.01,27,16,30357,TAMIAHUA,1
2011-01-08,0.0,2.2,27,17,30357,TAMIAHUA,1
2011-01-09,0.0,1.8,28,17,30357,TAMIAHUA,1
2011-01-10,0.0,3.4,26,15,30357,TAMIAHUA,1
2011-01-11,36.8,8.5,22,17,30357,TAMIAHUA,1
2011-01-12,2.1,0.7,12,9,30357,TAMIAHUA,1
2011-01-13,1.0,2.5,14,10,30357,TAMIAHUA,1
2011-01-14,0.01,1.3,20,12,30357,TAMIAHUA,1
2011-01-15,0.01,0.8,24,13,30357,TAMIAHUA,1
2011-01-16,0.01,2.3,25,15,30357,TAMIAHUA,1
2011-01-17,0.01,1.45,26,15,30357,TAMIAHUA,1
2011-01-18,0.01,4.15,29,16,30357,TAMIAHUA,1
2011-01-19,0.0,2.13,28,16,30357,TAMIAHUA,1
2011-01-20,0.0,4.57,30,17,30357,TAMIAHUA,1
2011-01-21,0.0,2.35,21,15,30357,TAMIAHUA,1
2011-01-22,0.0,2.75,21,14,30357,TAMIAHUA,1
2011-01-23,0.0,1.1,25,14,30357,TAMIAHUA,1
2011-01-24,0.0,1.5,25,16,30357,TAMIAHUA,1
2011-01-25,0.0,1.35,19,17,30357,TAMIAHUA,1
2011-01-26,0.01,3.65,19,15,30357,TAMIAHUA,1
2011-01-27,7.1,2,19,16,30357,TAMIAHUA,1
2011-01-28,0.01,0.5,25,16,30357,TAMIAHUA,1
2011-01-29,0.0,0.95,28,17,30357,TAMIAHUA,1
2011-01-30,0.0,2.55,27,17,30357,TAMIAHUA,1
2011-01-31,0.0,1.1,27,18,30357,TAMIAHUA,1
2011-02-01,1.1,5.3,27,18,30357,TAMIAHUA,2
2011-02-02,5.3,0.5,NULO,NULO,30357,TAMIAHUA,2
2011-02-03,1.2,5.39,6,5,30357,TAMIAHUA,2
2011-02-04,0.0,1.3,17,5,30357,TAMIAHUA,2
2011-02-05,0.0,1.4,16,5,30357,TAMIAHUA,2
2011-02-06,0.01,1.1,22,6,30357,TAMIAHUA,2
2011-02-07,0.0,0.7,18,11,30357,TAMIAHUA,2
2011-02-08,0.0,0.63,20,12,30357,TAMIAHUA,2
2011-02-09,0.0,2.97,28,12,30357,TAMIAHUA,2
2011-02-10,0.0,1.4,13,10,30357,TAMIAHUA,2
2011-02-11,3.5,0.5,12,9,30357,TAMIAHUA,2
2011-02-12,10.5,4.1,11,9,30357,TAMIAHUA,2
2011-02-13,0.0,2.08,17,5,30357,TAMIAHUA,2
2011-02-14,0.0,0.82,25,9,30357,TAMIAHUA,2
2011-02-15,0.01,0.6,24,10,30357,TAMIAHUA,2
2011-02-16,0.0,4.4,26,15,30357,TAMIAHUA,2
2011-02-17,0.0,NULO,27,17,30357,TAMIAHUA,2
2011-02-18,0.0,1.13,30,19,30357,TAMIAHUA,2
2011-02-19,0.0,5.45,29,13,30357,TAMIAHUA,2
2011-02-20,0.0,0.18,20,17,30357,TAMIAHUA,2
2011-02-21,0.0,0.82,25,10,30357,TAMIAHUA,2
2011-02-22,0.01,0.6,24,10,30357,TAMIAHUA,2
2011-02-23,0.0,4.4,26,15,30357,TAMIAHUA,2
2011-02-24,0.0,0.17,27,17,30357,TAMIAHUA,2
2011-02-25,0.0,1.13,30,19,30357,TAMIAHUA,2
2011-02-26,0.0,5.45,29,13,30357,TAMIAHUA,2
2011-02-27,0.0,0.13,29,17,30357,TAMIAHUA,2
2011-02-28,0.0,0.87,29,12,30357,TAMIAHUA,2
2011-03-01,0.0,4.7,28,10,30357,TAMIAHUA,3
2011-03-02,0.01,3.2,27,11,30357,TAMIAHUA,3
2011-03-03,0.0,4.05,27,11,30357,TAMIAHUA,3
2011-03-04,0.0,1.85,27,14,30357,TAMIAHUA,3
2011-03-05,3.8,3,28,17,30357,TAMIAHUA,3
2011-03-06,0.0,3.85,24,17,30357,TAMIAHUA,3
2011-03-07,0.0,4.65,26,14,30357,TAMIAHUA,3
2011-03-08,0.0,4.45,31,18,30357,TAMIAHUA,3
2011-03-09,0.0,4.65,31,20,30357,TAMIAHUA,3
2011-03-10,0.0,3.5,25,18,30357,TAMIAHUA,3
2011-03-11,0.0,1.9,25,14,30357,TAMIAHUA,3
2011-03-12,0.0,3.05,26,14,30357,TAMIAHUA,3
2011-03-13,0.0,0.65,28,17,30357,TAMIAHUA,3
2011-03-14,0.0,0.7,29,20,30357,TAMIAHUA,3
2011-03-15,0.0,2.6,29,19,30357,TAMIAHUA,3
2011-03-16,0.01,2.95,29,16,30357,TAMIAHUA,3
2011-03-17,0.01,2.6,29,18,30357,TAMIAHUA,3
2011-03-18,0.0,3.55,29,18,30357,TAMIAHUA,3
2011-03-19,0.0,3.4,29,19,30357,TAMIAHUA,3
2011-03-20,0.01,1.91,28,19,30357,TAMIAHUA,3
2011-03-21,0.0,4.2,28,18,30357,TAMIAHUA,3
2011-03-22,0.0,5.9,28,18,30357,TAMIAHUA,3
2011-03-23,0.0,6.8,28,18,30357,TAMIAHUA,3
2011-03-24,0.0,3.35,30,19,30357,TAMIAHUA,3
2011-03-25,0.0,4.95,30,20,30357,TAMIAHUA,3
2011-03-26,0.0,5.1,32,21,30357,TAMIAHUA,3
2011-03-27,0.0,3.05,33,20,30357,TAMIAHUA,3
2011-03-28,0.0,3.01,32,21,30357,TAMIAHUA,3
2011-03-29,0.0,3.09,31,22,30357,TAMIAHUA,3
2011-03-30,0.0,1.35,31,21,30357,TAMIAHUA,3
2011-03-31,0.0,1.4,31,22,30357,TAMIAHUA,3
2011-04-01,0.0,2.82,31,21,30357,TAMIAHUA,4
2011-04-02,0.0,1.4,29,23,30357,TAMIAHUA,4
2011-04-03,0.0,2.7,32,23,30357,TAMIAHUA,4
2011-04-04,0.0,4.05,34,21,30357,TAMIAHUA,4
2011-04-05,0.0,2.05,29,22,30357,TAMIAHUA,4
2011-04-06,0.0,4.1,29,15,30357,TAMIAHUA,4
2011-04-07,0.0,3.78,33,16,30357,TAMIAHUA,4
2011-04-08,0.0,4.02,33,22,30357,TAMIAHUA,4
2011-04-09,0.0,2.93,32,22,30357,TAMIAHUA,4
2011-04-10,0.0,7.37,35,22,30357,TAMIAHUA,4
2011-04-11,0.0,6.2,34,22,30357,TAMIAHUA,4
2011-04-12,0.0,4.95,33,21,30357,TAMIAHUA,4
2011-04-13,0.0,7.05,31,16,30357,TAMIAHUA,4
2011-04-14,0.0,6.05,34,20,30357,TAMIAHUA,4
2011-04-15,0.0,5.25,36,21,30357,TAMIAHUA,4
2011-04-16,0.0,4,30,20,30357,TAMIAHUA,4
2011-04-17,0.0,2.95,30,20,30357,TAMIAHUA,4
2011-04-18,0.0,6.65,34,22,30357,TAMIAHUA,4
2011-04-19,0.0,7.9,35,24,30357,TAMIAHUA,4
2011-04-20,0.0,5.4,35,24,30357,TAMIAHUA,4
2011-04-21,0.0,4.3,33,24,30357,TAMIAHUA,4
2011-04-22,0.0,1.8,32,23,30357,TAMIAHUA,4
2011-04-23,0.0,7.27,32,23,30357,TAMIAHUA,4
2011-04-24,0.0,6.03,34,24,30357,TAMIAHUA,4
2011-04-25,0.0,7.55,36,24,30357,TAMIAHUA,4
2011-04-26,0.0,5.55,38,23,30357,TAMIAHUA,4
2011-04-27,0.0,7.95,45,20,30357,TAMIAHUA,4
2011-04-28,0.0,3.95,31,23,30357,TAMIAHUA,4
2011-04-29,0.0,2.04,NULO,NULO,30357,TAMIAHUA,4
2011-04-30,0.0,5.2,NULO,NULO,30357,TAMIAHUA,4
2011-05-01,0.0,2.7,33,21,30357,TAMIAHUA,5
2011-05-02,0.0,2.7,33,24,30357,TAMIAHUA,5
2011-05-03,0.0,2.05,28,19,30357,TAMIAHUA,5
2011-05-04,0.0,0.65,30,18,30357,TAMIAHUA,5
2011-05-05,0.0,10.2,26,18,30357,TAMIAHUA,5
2011-05-06,0.0,0.6,33,19,30357,TAMIAHUA,5
2011-05-07,0.0,0.4,25,22,30357,TAMIAHUA,5
2011-05-08,0.0,3.95,33,23,30357,TAMIAHUA,5
2011-05-09,0.0,3.85,33,20,30357,TAMIAHUA,5
2011-05-10,0.0,3.3,33,21,30357,TAMIAHUA,5
2011-05-11,0.0,5.95,33,22,30357,TAMIAHUA,5
2011-05-12,0.0,5.15,36,25,30357,TAMIAHUA,5
2011-05-13,0.0,5.25,35,26,30357,TAMIAHUA,5
2011-05-14,0.0,0.97,33,24,30357,TAMIAHUA,5
2011-05-15,0.0,2.38,29,25,30357,TAMIAHUA,5
2011-05-16,2.3,0.1,27,24,30357,TAMIAHUA,5
2011-05-17,0.0,4.9,30,23,30357,TAMIAHUA,5
2011-05-18,0.0,2.1,33,24,30357,TAMIAHUA,5
2011-05-19,0.0,8.2,40,25,30357,TAMIAHUA,5
2011-05-20,0.0,6.5,39,23,30357,TAMIAHUA,5
2011-05-21,0.0,7.9,37,22,30357,TAMIAHUA,5
2011-05-22,0.0,5.15,37,25,30357,TAMIAHUA,5
2011-05-23,0.0,4.85,34,25,30357,TAMIAHUA,5
2011-05-24,0.0,4.55,37,25,30357,TAMIAHUA,5
2011-05-25,0.0,5.6,36,25,30357,TAMIAHUA,5
2011-05-26,0.0,1.4,32,24,30357,TAMIAHUA,5
2011-05-27,0.0,2.2,34,25,30357,TAMIAHUA,5
2011-05-28,0.0,4.1,34,22,30357,TAMIAHUA,5
2011-05-29,0.0,3.3,35,24,30357,TAMIAHUA,5
2011-05-30,0.01,1.9,34,26,30357,TAMIAHUA,5
2011-05-31,0.0,0.6,34,25,30357,TAMIAHUA,5
2011-06-01,0.0,4.4,33,25,30357,TAMIAHUA,6
2011-06-02,0.0,7.5,34,25,30357,TAMIAHUA,6
2011-06-03,0.0,6.3,34,20,30357,TAMIAHUA,6
2011-06-04,1.3,7.9,34,20,30357,TAMIAHUA,6
2011-06-05,3.1,1,32,23,30357,TAMIAHUA,6
2011-06-06,0.0,7.1,35,20,30357,TAMIAHUA,6
2011-06-07,0.0,6.05,34,21,30357,TAMIAHUA,6
2011-06-08,0.0,3.3,34,22,30357,TAMIAHUA,6
2011-06-09,0.0,13.5,34,22,30357,TAMIAHUA,6
2011-06-10,0.0,1.6,34,22,30357,TAMIAHUA,6
2011-06-11,0.0,5.6,35,22,30357,TAMIAHUA,6
2011-06-12,0.0,4.7,36,21,30357,TAMIAHUA,6
2011-06-13,0.0,6.2,36,23,30357,TAMIAHUA,6
2011-06-14,0.0,5,36,23,30357,TAMIAHUA,6
